experiment_name,dataset,target_family,seed,hp_model__max_depth,hp_model__n_estimators,hp_threshold_objective,hp_threshold_max_fpr_constraint,threshold_used,n_positive_predictions,n_test_total,f1_botnet,precision_botnet,recall_botnet,auroc,pr_auc,false_positive_rate
baseline_cic2017_RandomForest,CIC-IDS2017,,42,,200,max_recall_under_fpr,0.001,0.5813208081348804,420,38183,0.9519,0.919,0.9872,0.9999,0.9935,0.0009
baseline_cic2017_XGBoost,CIC-IDS2017,,42,0.1,6,200,max_recall_under_fpr,0.001,0.3086017668247223,422,38183,0.9619,0.9265,1.0,1.0,0.9987,0.0008
baseline_cse2018_RandomForest,CSE-CIC-IDS2018,,42,,100,max_recall_under_fpr,0.001,0.3999838556704953,57325,208905,0.999,0.9983,0.9998,1.0,1.0,0.0007
baseline_cse2018_XGBoost,CSE-CIC-IDS2018,,42,0.1,3,200,max_recall_under_fpr,0.001,0.08975800126791,57352,208905,0.999,0.998,1.0,1.0,1.0,0.0008
cross_dataset_17_to_18,CIC-IDS2017 -> CSE-CIC-IDS2018,,42,200,6,0.1,0.7143111824989319,0.7143111824989319,2760,1044525,0.0002,0.0094,0.0001,0.9466,0.8299,0.0036
baseline_cic-ids2017_RandomForest,CIC-IDS2017,,42,,200,0.5813208081348804,420,38183,0.9519,0.919,0.9872,0.9999,0.9935,0.0009
baseline_cic-ids2017_XGBoost,CIC-IDS2017,,42,0.1,6,200,0.3086017668247223,422,38183,0.9619,0.9265,1.0,1.0,0.9987,0.0008
baseline_cic-ids2017_SVM,CIC-IDS2017,,42,10.0,rbf,0.9198663559102542,11,10000,0.0,0.0,0.0,0.9775,0.2451,0.0011
baseline_cic-ids2017_RandomForest,CIC-IDS2017,,42,,200,0.5813208081348804,420,38183,0.9519,0.919,0.9872,0.9999,0.9935,0.0009
baseline_cic-ids2017_XGBoost,CIC-IDS2017,,42,0.1,6,200,0.3086017668247223,422,38183,0.9619,0.9265,1.0,1.0,0.9987,0.0008
baseline_cic-ids2017_SVM,CIC-IDS2017,,42,10.0,rbf,0.9198663559102542,11,10000,0.0,0.0,0.0,0.9775,0.2451,0.0011
baseline_CTU-13_RandomForest,CTU-13,,42,,200,max_recall_under_fpr,0.9192914067057018,2482,154308,0.5307,0.9424,0.3694,0.9909,0.8714,0.001
baseline_CTU-13_XGBoost,CTU-13,,42,0.1,6,200,max_recall_under_fpr,0.9539713859558105,3085,154308,0.6299,0.9614,0.4684,0.9935,0.8988,0.0008
baseline_CTU-13_SVM,CTU-13,,42,1.0,rbf,max_recall_under_fpr,inf,0,10000,0.0,0.0,0.0,0.5882,0.0649,0.0
baseline_CTU-13_RandomForest,CTU-13,,42,,200,max_recall_under_fpr,0.9192914067057018,2482,154308,0.5307,0.9424,0.3694,0.9909,0.8714,0.001
baseline_CTU-13_XGBoost,CTU-13,,42,0.1,6,200,max_recall_under_fpr,0.9539713859558105,3085,154308,0.6299,0.9614,0.4684,0.9935,0.8988,0.0008
baseline_CTU-13_SVM,CTU-13,,42,1.0,rbf,max_recall_under_fpr,inf,0,10000,0.0,0.0,0.0,0.5882,0.0649,0.0
